,City,Lat,Lng,Temp Max,Humidity,Cloudness,windSpeed,country,date
0,San Patricio,28.017,-97.5169,98.17,41,33,16.46,US,1658863946
1,Kanniyākumāri,8.0833,77.5667,77.95,83,28,8.23,IN,1658863999
2,Saskylakh,71.9167,114.0833,66.27,85,28,4.21,RU,1658863883
3,Punta Arenas,-53.15,-70.9167,39.22,70,75,13.8,CL,1658863946
4,Hilo,19.7297,-155.09,83.28,92,100,3.44,US,1658863865
5,San Vicente,-26.6167,-54.1333,76.32,53,5,1.32,AR,1658864000
6,Trelew,-43.249,-65.3051,46.56,92,100,8.61,AR,1658864220
7,Hobart,-42.8794,147.3294,44.46,93,69,3.44,AU,1658864353
8,Villa Guerrero,18.8667,-99.65,80.28,52,74,4.7,MX,1658864354
9,Mount Gambier,-37.8333,140.7667,49.91,100,100,9.22,AU,1658864431
10,Lermontovka,47.1453,134.3383,65.44,95,54,2.17,RU,1658864432
11,Dikson,73.5069,80.5464,44.92,92,100,28.81,RU,1658864432
12,Severo-Kuril'sk,50.6789,156.125,52.79,85,94,5.73,RU,1658864432
13,Esperance,-33.8667,121.9,56.8,82,100,6.91,AU,1658864433
14,Busselton,-33.65,115.3333,48.96,84,0,7.25,AU,1658864433
15,Nikolskoye,59.7035,30.7861,73.8,78,89,6.08,RU,1658863906
16,Chui,-33.6971,-53.4616,64.54,87,90,5.68,UY,1658863758
17,Lorengau,-2.0226,147.2712,80.58,82,82,8.03,PG,1658863991
18,Neiafu,-18.65,-173.9833,75.88,78,75,3.44,TO,1658864003
19,Mahon,39.8885,4.2658,77.56,69,0,11.5,ES,1658864003
20,Saint Paul Harbor,57.79,-152.4072,54.91,62,0,0.0,US,1658863999
21,‘Āhuimanu,21.4447,-157.8378,82.11,79,100,14.97,US,1658864003
22,Rikitea,-23.1203,-134.9692,75.43,75,97,13.15,PF,1658864004
23,Mataura,-46.1927,168.8643,44.47,97,100,7.47,NZ,1658864004
24,Muhafazat Lahij,13.1667,44.5833,87.51,36,95,9.51,YE,1658864004
25,Hermanus,-34.4187,19.2345,50.81,88,99,7.31,ZA,1658864005
26,Barrow,71.2906,-156.7887,35.62,93,100,14.97,US,1658863930
27,Puerto Ayora,-0.7393,-90.3518,78.76,89,100,8.01,EC,1658864005
28,Erenhot,43.6475,111.9767,72.45,39,83,6.11,CN,1658864006
29,Cape Town,-33.9258,18.4232,57.27,81,20,5.75,ZA,1658864006
30,Ushuaia,-54.8,-68.3,38.82,60,20,9.22,AR,1658863898
31,Vila Velha,-20.3297,-40.2925,76.95,82,20,11.5,BR,1658863712
32,Port Alfred,-33.5906,26.891,65.23,53,11,8.39,ZA,1658864006
33,Gōtsuchō,35.0,132.2167,75.63,86,0,4.16,JP,1658864007
34,Dongsheng,39.8161,109.9776,68.47,50,100,7.74,CN,1658864007
35,Nyurba,63.2842,118.3319,66.56,89,5,5.01,RU,1658864007
36,Ahipara,-35.1667,173.1667,56.08,74,97,16.04,NZ,1658864008
37,Upernavik,72.7868,-56.1549,38.62,89,95,11.54,GL,1658863888
38,Narsaq,60.9167,-46.05,57.42,81,48,5.32,GL,1658864008
39,La Tuque,47.4334,-72.7824,75.45,43,99,9.22,CA,1658864008
40,East London,-33.0153,27.9116,63.95,54,26,9.13,ZA,1658864009
41,Carnarvon,-24.8667,113.6333,62.62,49,0,10.29,AU,1658864009
42,Hrubieszów,50.805,23.8925,64.4,95,100,9.89,PL,1658864009
43,Brønnøysund,65.4625,12.1997,53.6,100,75,18.41,NO,1658864010
44,Palmer,42.1584,-72.3287,82.92,43,75,9.22,US,1658864010
45,Padang,-0.9492,100.3543,76.03,86,91,3.27,ID,1658864010
46,Hithadhoo,-0.6,73.0833,81.01,76,100,13.29,MV,1658864011
47,Yellowknife,62.456,-114.3525,70.32,49,20,4.61,CA,1658863942
48,Bethel,41.3712,-73.414,83.34,50,40,5.75,US,1658864011
49,Bredasdorp,-34.5322,20.0403,51.01,92,100,5.73,ZA,1658864011
50,Ribeira Grande,38.5167,-28.7,77.4,83,20,11.5,PT,1658863919
51,Envira,-7.3,-70.2167,83.37,59,93,1.63,BR,1658864012
52,Chokurdakh,70.6333,147.9167,45.75,62,99,12.08,RU,1658864012
53,Kununurra,-15.7667,128.7333,73.38,33,18,10.36,AU,1658863814
54,Mossamedes,-15.1961,12.1522,63.93,78,81,1.79,AO,1658864012
55,Tuatapere,-46.1333,167.6833,44.33,95,100,9.01,NZ,1658864013
56,Baykalovo,57.3981,63.7684,57.25,92,95,7.02,RU,1658864013
57,Necochea,-38.5473,-58.7368,53.98,94,100,7.81,AR,1658864013
58,Tuktoyaktuk,69.4541,-133.0374,59.0,82,100,19.57,CA,1658863885
59,Butaritari,3.0707,172.7902,81.55,75,12,17.87,KI,1658863762
60,Souillac,-20.5167,57.5167,70.18,83,40,6.91,MU,1658864002
61,Ngunguru,-35.6167,174.5,54.46,77,28,13.87,NZ,1658864014
62,Saldanha,-33.0117,17.9442,55.45,88,21,4.74,ZA,1658863963
63,Cherskiy,68.75,161.3,44.42,62,5,11.14,RU,1658864007
64,Fort-Shevchenko,44.5086,50.263,77.56,61,0,7.14,KZ,1658864014
65,Mount Isa,-20.7333,139.5,55.17,41,0,10.36,AU,1658864360
66,Pisco,-13.7,-76.2167,64.45,77,20,8.05,PE,1658864015
67,Husavik,66.0449,-17.3389,54.3,74,97,5.28,IS,1658864015
68,Acajutla,13.5928,-89.8275,83.08,71,97,7.07,SV,1658864015
69,Port Hedland,-20.3167,118.5667,59.05,51,10,6.91,AU,1658864016
70,Preobrazheniye,42.9019,133.9064,68.36,90,100,2.64,RU,1658864360
71,Torbay,47.6666,-52.7314,75.97,75,75,20.71,CA,1658864005
72,Grand Gaube,-20.0064,57.6608,70.2,76,0,1.99,MU,1658864016
73,Nanlong,31.3533,106.0631,79.77,87,9,4.32,CN,1658864016
74,Yulara,-25.2406,130.9889,42.35,59,0,9.15,AU,1658863987
75,Dubrovka,53.6907,33.5071,62.85,92,40,6.24,RU,1658864017
76,Shiyan,32.6475,110.7781,77.88,93,100,2.59,CN,1658864017
77,Yokadouma,3.5167,15.05,71.15,87,95,2.19,CM,1658864018
78,Paramonga,-10.6667,-77.8333,65.62,75,77,12.28,PE,1658864018
79,Kalmunai,7.4167,81.8167,80.01,81,100,3.11,LK,1658864018
80,Promyshlennaya,54.9159,85.6385,58.15,88,56,5.14,RU,1658864019
81,Camalú,30.85,-116.0667,76.26,60,35,11.3,MX,1658864019
82,Bathsheba,13.2167,-59.5167,86.61,76,20,20.71,BB,1658864019
83,Mar del Plata,-38.0023,-57.5575,60.1,97,100,5.75,AR,1658864019
84,Albany,42.6001,-73.9662,77.36,52,100,1.99,US,1658864020
85,Marsá Maţrūḩ,31.3525,27.2453,80.8,78,0,9.22,EG,1658864020
86,Tagusao,9.1924,117.8141,79.0,83,43,3.65,PH,1658864020
87,Ust-Nera,64.5667,143.2,62.69,82,22,5.79,RU,1658864021
88,Shenjiamen,29.9576,122.298,79.5,86,44,16.98,CN,1658864021
89,Saint Anthony,45.0205,-93.218,79.25,65,100,9.22,US,1658864362
90,Whitehorse,60.7161,-135.0538,72.81,49,75,14.97,CA,1658864363
91,Winchester,51.0651,-1.3187,68.49,57,20,9.22,GB,1658863969
92,Jalu,29.0331,21.5482,87.49,32,5,15.46,LY,1658864363
93,Darnah,32.767,22.6367,79.74,75,0,15.79,LY,1658864022
94,Nanortalik,60.1432,-45.2371,46.13,88,78,5.08,GL,1658863752
95,Pirapora,-17.345,-44.9419,82.8,25,0,3.71,BR,1658864022
96,Benguela,-12.5763,13.4055,68.92,86,44,2.86,AO,1658864022
97,Jhang,33.6748,72.6963,80.62,75,100,6.76,PK,1658864023
98,Rio Brilhante,-21.8019,-54.5464,90.0,21,0,3.6,BR,1658864023
99,La Paz,-16.5,-68.15,62.58,31,20,9.22,BO,1658863933
100,Mahébourg,-20.4081,57.7,70.09,83,40,6.91,MU,1658863899
101,Yangi Marg`ilon,40.4272,71.7189,86.72,35,5,6.91,UZ,1658864023
102,Vestmannaeyjar,63.4427,-20.2734,52.79,93,100,19.57,IS,1658864024
103,Ende,-8.8432,121.6623,72.63,78,46,0.69,ID,1658864024
104,Yūbari,43.0378,141.9578,66.94,96,100,1.21,JP,1658864024
105,Kumul,42.8,93.45,80.8,15,0,9.15,CN,1658864025
106,São Filipe,14.8961,-24.4956,77.9,82,87,3.91,CV,1658864025
107,Geraldton,-28.7667,114.6,41.41,87,0,9.22,AU,1658864025
108,Mongoumba,3.6415,18.5936,72.61,90,100,2.82,CF,1658864026
109,Chingirlau,51.095,54.0814,65.97,81,69,3.56,KZ,1658864026
110,San Andrés,12.5847,-81.7006,87.82,70,40,8.05,CO,1658864026
111,Provideniya,64.3833,-173.3,46.45,63,71,5.21,RU,1658863913
112,Kirkwall,58.9848,-2.9587,55.45,82,100,11.5,GB,1658864027
113,Kaeo,-35.1,173.7833,53.33,90,60,14.16,NZ,1658864027
114,Arecibo,18.4724,-66.7157,91.02,75,0,4.0,PR,1658863955
115,Ballater,57.0493,-3.0402,59.81,81,93,2.64,GB,1658864027
116,Nieuw Amsterdam,5.8833,-55.0833,89.62,62,40,9.22,SR,1658864028
117,Hambantota,6.1241,81.1185,78.55,84,95,2.42,LK,1658864028
118,Nsanje,-16.92,35.262,63.57,95,77,3.22,MW,1658864028
119,Labuhan,-6.8844,112.2051,74.21,86,74,7.34,ID,1658864078
120,Fairbanks,64.8378,-147.7164,57.2,55,75,18.41,US,1658863786
121,Comodoro Rivadavia,-45.8667,-67.5,37.26,87,75,6.91,AR,1658864029
122,Zheshart,62.0731,49.5733,53.11,65,8,2.73,RU,1658864029
123,Clyde River,70.4692,-68.5914,39.43,100,75,11.5,CA,1658863875
124,Castro,-24.7911,-50.0119,68.27,59,0,4.92,BR,1658864030
125,Misratah,32.3754,15.0925,82.89,65,0,6.76,LY,1658864030
126,Chililabombwe,-12.3648,27.8229,59.31,50,1,6.55,ZM,1658864030
127,Vardø,70.3705,31.1107,58.98,94,75,5.75,NO,1658864031
128,Katherine,-14.4667,132.2667,61.12,67,7,8.05,AU,1658864031
129,Lithakia,37.7167,20.8333,82.33,74,0,3.44,GR,1658864031
130,Mandalgovi,45.7625,106.2708,52.48,79,3,13.67,MN,1658864031
131,Ampanihy,-24.7,44.75,59.7,78,0,3.94,MG,1658864032
132,Loandjili,-4.7561,11.8578,70.12,88,21,7.0,CG,1658864032
133,Yarim,14.298,44.3779,55.78,77,100,3.76,YE,1658864032
134,Chapais,49.7834,-74.8492,56.98,87,94,12.62,CA,1658864033
135,Ambon City,-3.6954,128.1814,79.23,14,40,6.91,ID,1658864033
136,Muzhi,65.3667,64.6667,55.45,70,100,12.37,RU,1658864033
137,Bengkulu,-3.8004,102.2655,75.67,87,100,3.67,ID,1658863894
138,Fortuna,40.5982,-124.1573,71.92,70,38,4.0,US,1658864034
139,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,75,2.24,RU,1658863874
140,Avarua,-21.2078,-159.775,71.65,64,40,13.8,CK,1658863992
141,Yumen,40.2833,97.2,75.09,16,11,11.97,CN,1658864034
142,Santa Ana,33.7456,-117.8678,94.86,59,40,6.91,US,1658863919
143,Atuona,-9.8,-139.0333,77.25,76,6,17.63,PF,1658864035
144,Hasaki,35.7333,140.8333,77.4,90,100,16.04,JP,1658864035
145,Faya,18.3851,42.4509,69.91,61,100,5.66,SA,1658864035
146,Port Elizabeth,-33.918,25.5701,61.32,63,17,1.01,ZA,1658864036
147,Tasiilaq,65.6145,-37.6368,42.96,93,100,1.63,GL,1658863901
148,Victor Harbor,-35.5667,138.6167,50.68,75,100,11.79,AU,1658864036
149,Sitka,57.0531,-135.33,57.09,94,100,3.44,US,1658864036
150,Cayenne,4.9333,-52.3333,86.09,14,75,3.44,GF,1658864127
151,Thompson,55.7435,-97.8558,60.96,82,75,9.22,CA,1658864037
152,Cidreira,-30.1811,-50.2056,62.89,89,11,11.5,BR,1658864037
153,Bluff,-46.6,168.3333,44.8,89,100,22.75,NZ,1658864037
154,North Bend,43.4065,-124.2243,75.92,94,40,8.05,US,1658863844
155,Lompoc,34.6391,-120.4579,85.01,71,0,9.22,US,1658863948
156,Vaini,-21.2,-175.2,71.76,88,20,5.75,TO,1658864038
157,Sambalpur,21.45,83.9667,78.48,90,100,3.98,IN,1658863915
158,Kapaa,22.0752,-159.319,82.72,71,40,19.57,US,1658863913
159,Halvad,23.0167,71.1833,79.05,87,89,9.73,IN,1658864038
160,Sur,22.5667,59.5289,81.39,79,35,17.45,OM,1658864038
161,Sept-Îles,50.2001,-66.3821,73.4,47,75,12.66,CA,1658863811
162,Belmonte,-15.8631,-38.8828,73.96,70,2,9.62,BR,1658864039
163,Biak,-0.9131,122.8766,75.07,90,95,6.91,ID,1658864368
164,San Quintín,30.4833,-115.95,74.21,64,14,12.75,MX,1658864039
165,Fremont,37.5483,-121.9886,87.03,54,0,8.01,US,1658863762
166,Bloomington,44.8408,-93.2983,80.04,62,100,11.5,US,1658864040
167,Severomuysk,56.1481,113.4267,55.53,89,100,3.62,RU,1658864040
168,Jasper,37.2001,-94.3502,105.46,28,20,4.0,US,1658864369
169,Buala,-8.145,159.5921,78.57,83,84,4.65,SB,1658864040
170,Beringovskiy,63.05,179.3167,47.75,81,100,6.58,RU,1658863751
171,Leningradskiy,69.3833,178.4167,33.58,99,100,8.57,RU,1658863944
172,Saint George,37.1041,-113.5841,91.63,44,0,4.0,US,1658864041
173,Santo Domingo,18.5001,-69.9886,92.84,63,40,9.22,DO,1658863962
174,Ulaanbaatar,47.9077,106.8832,51.93,82,40,6.71,MN,1658863875
175,Nuuk,64.1835,-51.7216,47.01,81,75,4.61,GL,1658863908
176,Ivybridge,50.3904,-3.9191,65.71,62,2,9.57,GB,1658864042
177,Rio Grande,-32.035,-52.0986,69.91,88,79,9.73,BR,1658863805
178,Itinga,-16.6131,-41.7653,78.96,42,0,11.77,BR,1658864042
179,Chaska,44.7894,-93.6022,80.33,67,75,11.5,US,1658864020
180,Santa Cruz de la Sierra,-17.8,-63.1667,90.86,43,40,16.11,BO,1658864043
181,Maceió,-9.6658,-35.7353,76.44,88,100,9.22,BR,1658864043
182,Peace River,56.2501,-117.286,79.11,44,75,3.44,CA,1658863900
183,Ilulissat,69.2167,-51.1,50.02,81,75,5.75,GL,1658864043
184,Yekaterinogradskaya,43.7635,44.2317,74.46,49,74,5.17,RU,1658864044
185,Grand-Santi,4.25,-54.3833,79.21,91,100,2.68,GF,1658864044
186,Kaitangata,-46.2817,169.8464,45.48,96,100,12.97,NZ,1658864370
187,Jumla,29.2747,82.1838,61.92,98,99,1.9,NP,1658864045
188,Lebu,-37.6167,-73.65,53.87,77,3,17.47,CL,1658864045
189,São José da Coroa Grande,-8.8978,-35.1478,74.95,84,74,12.08,BR,1658864045
190,New Norfolk,-42.7826,147.0587,44.1,87,87,2.91,AU,1658863768
191,Devils Lake,48.1128,-98.8651,73.51,54,20,13.8,US,1658864371
192,San Javier,37.8063,-0.8374,85.57,74,20,5.01,ES,1658864046
193,Iskateley,67.6803,53.1512,48.31,82,7,6.44,RU,1658864046
194,Lavrentiya,65.5833,-171.0,38.95,89,100,14.18,RU,1658864372
195,Port Keats,-14.25,129.55,68.41,43,99,8.93,AU,1658864047
196,Tumen,42.9661,129.8425,68.9,98,33,1.72,CN,1658864047
197,Yar-Sale,66.8333,70.8333,48.47,88,100,9.44,RU,1658864000
198,Forsytheganj,52.6333,29.7333,64.15,77,52,4.61,BY,1658864047
199,Pecos,31.4229,-103.4932,97.63,26,0,0.0,US,1658864263
200,Talnakh,69.4865,88.3972,54.21,77,6,3.65,RU,1658863990
201,Praia da Vitória,38.7333,-27.0667,78.76,88,40,5.75,PT,1658864373
202,Takoradze,4.8845,-1.7554,75.22,88,100,10.87,GH,1658864373
203,Makakilo City,21.3469,-158.0858,80.92,65,100,14.97,US,1658864048
204,Zogno,45.7919,9.6562,83.71,80,75,4.0,IT,1658864049
205,Saint-Pierre,-21.3393,55.4781,67.91,76,0,4.61,RE,1658864049
206,Yaring,6.8662,101.3689,79.02,86,100,5.23,TH,1658864049
207,Caravelas,-17.7125,-39.2481,72.9,75,4,6.49,BR,1658864050
208,União,-4.5858,-42.8642,89.62,37,30,2.3,BR,1658864050
209,Washington,47.5001,-120.5015,96.33,28,0,5.08,US,1658863787
210,Salé,34.0389,-6.8166,79.48,65,1,5.75,MA,1658864051
211,Ilebo,-4.3167,20.5833,77.16,35,69,2.26,CD,1658864051
212,Evensk,61.95,159.2333,53.33,82,55,2.28,RU,1658864051
213,Riyadh,24.6877,46.7219,96.94,13,99,9.71,SA,1658864052
214,Pindiga,9.9833,10.9333,75.2,77,99,9.86,NG,1658864052
215,Nekrasovskoye,57.6766,40.3657,67.89,88,0,0.0,RU,1658864052
216,Khatanga,71.9667,102.5,66.04,56,74,8.93,RU,1658864053
217,Xining,36.6167,101.7667,57.6,84,100,1.03,CN,1658863956
218,Abhā,18.2164,42.5053,69.62,73,0,0.0,SA,1658864053
219,Bila,43.7825,16.9253,65.01,87,51,6.49,BA,1658864053
220,Eenhana,-17.4667,16.3333,64.45,31,58,6.06,NA,1658864054
221,Airai,-8.9266,125.4092,53.15,71,89,3.89,TL,1658864054
222,Saint-François,46.4154,3.9054,69.24,52,0,10.36,FR,1658864054
223,Starkville,33.4504,-88.8184,92.64,46,100,5.86,US,1658864055
224,Fort Nelson,58.8053,-122.7002,78.39,50,40,9.22,CA,1658864055
225,Ormara,25.2088,64.6357,82.87,81,100,3.65,PK,1658864056
226,Longyearbyen,78.2186,15.6401,48.04,87,75,8.05,SJ,1658864056
227,Erice,38.037,12.5865,75.56,79,0,8.05,IT,1658864056
228,Palu,-0.8917,119.8707,75.99,94,100,2.89,ID,1658864057
229,Mogadouro,41.3403,-6.7119,75.13,33,0,9.31,PT,1658864057
230,Kieta,-6.2167,155.6333,78.01,84,100,1.1,PG,1658863985
231,Bollnäs,61.3482,16.3946,57.18,90,14,4.97,SE,1658864057
232,Gladstone,-23.85,151.25,58.93,58,0,6.91,AU,1658863881
233,Awjilah,29.1081,21.2869,86.95,32,5,16.46,LY,1658864058
234,Kruisfontein,-34.0033,24.7314,57.31,50,13,6.96,ZA,1658863806
235,Gillette,44.2911,-105.5022,68.92,71,20,9.35,US,1658863807
236,Kavieng,-2.5744,150.7967,82.15,71,100,12.66,PG,1658864058
237,Jamestown,42.097,-79.2353,78.53,53,40,9.22,US,1658864059
238,Grindavik,63.8424,-22.4338,54.07,94,100,23.02,IS,1658864059
239,Mbaïki,3.8678,17.9892,70.75,97,100,1.43,CF,1658864059
240,Yingkou,40.6648,122.2283,71.92,89,6,5.35,CN,1658864060
241,Kachīry,53.0675,76.1036,73.24,38,99,10.25,KZ,1658864060
242,Ilhabela,-23.7781,-45.3581,70.11,87,22,3.47,BR,1658864060
243,Laguna,38.421,-121.4238,92.97,45,0,6.91,US,1658864376
244,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,94.91,23,4,11.36,AR,1658864061
245,Faanui,-16.4833,-151.75,77.59,74,47,10.49,PF,1658864061
246,Shetpe,44.1667,52.1167,77.88,43,0,4.72,KZ,1658864061
247,Mankono,8.0586,-6.1897,74.91,82,100,2.91,CI,1658864062
248,Jieshi,22.8134,115.8257,83.26,77,1,7.94,CN,1658864062
249,Torrington,41.8007,-73.1212,82.94,51,92,1.01,US,1658864062
250,Weligama,5.9667,80.4167,77.25,90,84,4.88,LK,1658864063
251,Kroya,-7.6331,109.2461,72.5,90,56,2.8,ID,1658864063
252,Qaanaaq,77.484,-69.3632,44.19,63,30,4.52,GL,1658864063
253,Ābyek,36.0667,50.55,73.0,48,0,3.51,IR,1658864064
254,Hong Kong,22.2855,114.1577,86.38,77,0,8.99,HK,1658864000
255,Pueblo Nuevo,23.3833,-105.3833,69.4,65,98,4.09,MX,1658864064
256,Talcahuano,-36.7167,-73.1167,56.88,82,75,17.27,CL,1658864064
257,Buta,2.7858,24.73,71.08,98,100,0.27,CD,1658864065
258,Coquimbo,-29.9533,-71.3436,58.73,72,0,10.36,CL,1658863992
259,Dakar,14.6937,-17.4441,84.33,74,40,16.11,SN,1658864017
260,Rocha,-34.4833,-54.3333,66.18,89,96,6.64,UY,1658864051
261,Bilibino,68.0546,166.4372,40.89,63,76,9.91,RU,1658864065
262,Adrar,20.5022,-10.0711,103.91,14,79,11.68,MR,1658863987
263,Gusau,12.1628,6.6614,78.71,76,100,10.85,NG,1658864066
264,Dawson Creek,55.7666,-120.2362,78.44,44,0,10.36,CA,1658864066
265,Papetoai,-17.4961,-149.8729,76.59,81,100,13.96,PF,1658864066
266,Bara,10.3744,10.7288,76.33,82,100,6.17,NG,1658863895
267,Saint-Philippe,-21.3585,55.7679,66.22,83,6,9.35,RE,1658864067
268,Kudahuvadhoo,2.6708,72.8944,82.47,76,41,18.75,MV,1658863770
269,Bambous Virieux,-20.3428,57.7575,70.05,83,40,6.91,MU,1658864067
270,Norman Wells,65.282,-126.8329,77.04,41,75,10.36,CA,1658863920
271,Bonthe,7.5264,-12.505,76.46,82,65,7.25,SL,1658863941
272,Codrington,-38.2667,141.9667,49.93,95,68,8.08,AU,1658864068
273,Jarinu,-23.1014,-46.7283,79.18,39,0,4.47,BR,1658863959
274,Rengo,-34.4167,-70.8667,62.92,63,41,3.11,CL,1658864068
275,Dafeng,23.4517,108.5881,78.1,84,5,2.77,CN,1658864068
276,Lázaro Cárdenas,17.9583,-102.2,86.83,61,63,9.82,MX,1658864068
277,Konstantinovo,54.6628,29.2699,63.23,84,67,5.08,BY,1658864069
278,Saint-Augustin,51.226,-58.6502,72.16,54,73,17.05,CA,1658864069
279,Vazhiny,60.9644,34.0222,63.77,77,61,3.58,RU,1658864069
280,Port Hardy,50.6996,-127.4199,62.78,82,20,5.75,CA,1658864070
281,Bereda,43.2686,-7.5406,63.41,87,73,6.35,ES,1658864070
282,Namwala,-15.7504,26.4384,60.35,41,0,5.7,ZM,1658864070
283,Dingle,10.9995,122.6711,76.35,92,57,4.32,PH,1658864071
284,Malpe,13.35,74.7167,78.1,86,100,4.5,IN,1658864071
285,Marabu,4.4148,114.0089,75.34,100,40,1.14,MY,1658864071
286,Ngorongoro,-3.2397,35.4875,49.32,67,33,5.99,TZ,1658864072
287,Cabadiangan,9.7531,122.4739,78.42,89,100,2.48,PH,1658864072
